sample_name,rundate,doc_mg_l,npoc_flag,Treatment,Wash,Fraction,Group
OW1.45.A,20240307,9.1,NA,OW,1,0.45,OW 0.45
AW1.45.A,20240307,9.1,NA,AW,1,0.45,AW 0.45
OW1.45.B,20240307,9.76,NA,OW,1,0.45,OW 0.45
AW1.45.B,20240307,9.37,NA,AW,1,0.45,AW 0.45
OW1.45.C,20240307,9.68,NA,OW,1,0.45,OW 0.45
AW1.45.C,20240307,9.53,NA,AW,1,0.45,AW 0.45
OW2.45.A,20240307,4.04,NA,OW,2,0.45,OW 0.45
AW2.45.A,20240307,3.78,NA,AW,2,0.45,AW 0.45
OW2.45.B,20240307,3.64,NA,OW,2,0.45,OW 0.45
AW2.45.B,20240307,3.84,NA,AW,2,0.45,AW 0.45
OW2.45.C,20240307,3.72,NA,OW,2,0.45,OW 0.45
AW2.45.C,20240307,3.94,NA,AW,2,0.45,AW 0.45
OW1.01.A,20240307,7.67,NA,OW,1,0.1,OW 0.1
AW1.01.A,20240307,9.38,NA,AW,1,0.1,AW 0.1
OW1.01.B,20240307,7.85,NA,OW,1,0.1,OW 0.1
OW1.01.C,20240307,9.64,NA,OW,1,0.1,OW 0.1
AW1.01.C,20240307,7.33,NA,AW,1,0.1,AW 0.1
OW2.01.A,20240307,3.24,NA,OW,2,0.1,OW 0.1
AW2.01.A,20240307,3.71,NA,AW,2,0.1,AW 0.1
OW2.01.B,20240307,3.41,NA,OW,2,0.1,OW 0.1
OW2.01.C,20240307,3.69,NA,OW,2,0.1,OW 0.1
AW2.01.C,20240307,3.04,NA,AW,2,0.1,AW 0.1
AW3.01.A,20240307,17.36,NA,AW,3,0.1,AW 0.1
OW3.01.B,20240307,21.99,NA,OW,3,0.1,OW 0.1
OW3.01.C,20240307,17.1,NA,OW,3,0.1,OW 0.1
AW3.01.C,20240307,13.04,NA,AW,3,0.1,AW 0.1
AW4.01.A,20240307,17.51,NA,AW,4,0.1,AW 0.1
OW4.01.B,20240307,37.54,NA,OW,4,0.1,OW 0.1
OW4.01.C,20240307,18.21,NA,OW,4,0.1,OW 0.1
AW5.01.A,20240307,18.38,NA,AW,5,0.1,AW 0.1
OW5.01.B,20240307,12.54,NA,OW,5,0.1,OW 0.1
OW5.01.C,20240307,20.31,NA,OW,5,0.1,OW 0.1
OW1.DI,20240307,0.66,blank is ≥ 15% of sample value,OW,1,Blank,OW Blank
AWI.DI,20240307,0.76,blank is ≥ 15% of sample value,AW,1,Blank,AW Blank
OW1.ASW,20240307,0.99,blank is ≥ 15% of sample value,OW,1,Blank,OW Blank
AW1.ASW,20240307,0.99,blank is ≥ 15% of sample value,AW,1,Blank,AW Blank
OW2.DI,20240307,0.5,blank is ≥ 15% of sample value,OW,2,Blank,OW Blank
AW2.DI,20240307,0.93,blank is ≥ 15% of sample value,AW,2,Blank,AW Blank
OW2.ASW,20240307,0.88,blank is ≥ 15% of sample value,OW,2,Blank,OW Blank
AW2.ASW,20240307,1,blank is ≥ 15% of sample value,AW,2,Blank,AW Blank
OW3.DI,20240307,0.45,blank is ≥ 15% of sample value,OW,3,Blank,OW Blank
AW3.DI,20240307,0.63,blank is ≥ 15% of sample value,AW,3,Blank,AW Blank
OW3.ASW,20240307,1.08,blank is ≥ 15% of sample value,OW,3,Blank,OW Blank
AW3.ASW,20240307,1.68,blank is ≥ 15% of sample value,AW,3,Blank,AW Blank
OW4.DI,20240307,0.34,blank is ≥ 15% of sample value,OW,4,Blank,OW Blank
AW4.DI,20240307,2.29,NA,AW,4,Blank,AW Blank
OW4.ASW,20240307,0.85,blank is ≥ 15% of sample value,OW,4,Blank,OW Blank
AW4.ASW,20240307,0.68,blank is ≥ 15% of sample value,AW,4,Blank,AW Blank
OW5.DI,20240307,0.38,blank is ≥ 15% of sample value,OW,5,Blank,OW Blank
AW5.DI,20240307,0.65,blank is ≥ 15% of sample value,AW,5,Blank,AW Blank
OW5.ASW,20240307,1.07,blank is ≥ 15% of sample value,OW,5,Blank,OW Blank
AW5.ASW,20240307,2.01,blank is ≥ 15% of sample value,AW,5,Blank,AW Blank
AW2.1.A,20240313,10.24,NA,AW,2,1,AW 1
OW3.45.A,20240307,131.93,NA,OW,3,0.45,OW 0.45
AW3.45.A,20240307,125.4,NA,AW,3,0.45,AW 0.45
OW3.45.B,20240307,141.13,NA,OW,3,0.45,OW 0.45
AW3.45.B,20240307,135.77,NA,AW,3,0.45,AW 0.45
OW3.45.C,20240307,143.92,NA,OW,3,0.45,OW 0.45
AW3.45.C,20240307,114.2,NA,AW,3,0.45,AW 0.45
OW1.1.A,20240311,132.8,NA,OW,1,1,OW 1
AW1.1.A,20240311,120.32,NA,AW,1,1,AW 1
OW1.1.B,20240311,103.84,NA,OW,1,1,OW 1
AW1.1.B,20240311,126.24,NA,AW,1,1,AW 1
OW1.1.C,20240311,99.04,NA,OW,1,1,OW 1
AW1.1.C,20240311,105.36,NA,AW,1,1,AW 1
OW2.1.A,20240313,73.4,NA,OW,2,1,OW 1
OW2.1.B,20240313,80.88,NA,OW,2,1,OW 1
AW2.1.B,20240313,79.48,NA,AW,2,1,AW 1
OW2.1.C,20240313,89.68,NA,OW,2,1,OW 1
AW2.1.C,20240313,74.72,NA,AW,2,1,AW 1
OW3.1.A,20240314,645.6,NA,OW,3,1,OW 1
AW3.1.A,20240314,492,NA,AW,3,1,AW 1
OW3.1.B,20240314,699.04,NA,OW,3,1,OW 1
AW3.1.B,20240314,593.12,NA,AW,3,1,AW 1
OW3.1.C,20240314,680.56,NA,OW,3,1,OW 1
AW3.1.C,20240314,653.04,NA,AW,3,1,AW 1
OW4.1.A,20240315,175.6,NA,OW,4,1,OW 1
AW4.1.A,20240315,167.6,NA,AW,4,1,AW 1
OW4.1.B,20240315,185.84,NA,OW,4,1,OW 1
AW4.1.B,20240315,192.16,NA,AW,4,1,AW 1
OW4.1.C,20240315,179.44,NA,OW,4,1,OW 1
AW4.1.C,20240315,190.8,NA,AW,4,1,AW 1
OW5.1.A,20240318,156.64,NA,OW,5,1,OW 1
AW5.1.A,20240318,134,NA,AW,5,1,AW 1
OW5.1.B,20240318,156.16,NA,OW,5,1,OW 1
AW5.1.B,20240318,155.68,NA,AW,5,1,AW 1
OW5.1.C,20240318,151.28,NA,OW,5,1,OW 1
AW5.1.C,20240318,144.08,NA,AW,5,1,AW 1
OW4.45.A,20240319,112.32,NA,OW,4,0.45,OW 0.45
AW4.45.A,20240319,124.24,NA,AW,4,0.45,AW 0.45
OW4.45.B,20240319,128.8,NA,OW,4,0.45,OW 0.45
AW4.45.B,20240319,124.08,NA,AW,4,0.45,AW 0.45
OW4.45.C,20240319,126.64,NA,OW,4,0.45,OW 0.45
AW4.45.C,20240319,112.88,NA,AW,4,0.45,AW 0.45
OW5.45.A,20240320,97.04,NA,OW,5,0.45,OW 0.45
AW5.45.A,20240320,97.68,NA,AW,5,0.45,AW 0.45
OW5.45.B,20240320,109.68,NA,OW,5,0.45,OW 0.45
AW5.45.B,20240320,98.64,NA,AW,5,0.45,AW 0.45
OW5.45.C,20240320,111.52,NA,OW,5,0.45,OW 0.45
AW5.45.C,20240320,105.12,NA,AW,5,0.45,AW 0.45
