Sample,LBC 1,LBCeq,pH 2,"Base_sat_%
Satur-
ation",CEC_meq/100g,Ca_ppm,Cd_ppm,Cr_ppm,Cu_ppm,Fe_ppm,K_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Na_ppm,Ni_ppm,P_ppm,Pb_ppm,Zn_ppm,C_%,N_%
C_C3_0,672,1949,5.6,67.02,16.55,1472,0.07,0.09,0.3,93.2,178.7,386.3,29.21,0.06,11.83,0.77,25.96,0.97,5.04,5.27,0.27
C_C3_5,1040,3016,4.53,21.26,18.92,405,0.06,0.21,0.36,223.9,107.9,200.2,3.6,0.05,11.76,3.89,12.6,2.03,2.97,3.2,0.17
C_C3_10,1856,5382,4.85,14.42,27.04,401,0.05,0.24,0.26,155.9,81.5,197.2,3.79,0.05,9.43,2.57,9.07,1.65,2.22,1.84,0.11
C_C3_15,1131,3280,4.63,26.69,21.21,582,0.06,0.33,0.31,124.8,133,282.5,4.65,0.06,12.41,3.27,9.78,0.82,2.27,1.72,0.1
C_C3_20,1256,3642,4.67,25.14,22.67,520,0.07,0.39,0.34,108.8,158.3,315.8,3.25,0.07,13.91,2.38,8.96,0.56,2.22,2.67,0.15
C_C3_25,1117,3239,4.57,24.06,20.73,487,0.06,0.31,0.28,136.2,120.9,262.8,3.63,0.06,12.13,1.2,9.76,0.95,2.29,2.54,0.14
C_C3_30,1443,4185,4.6,19.99,25.1,340,0.05,0.33,0.41,103.4,127.8,351.7,3.25,0.05,13.21,1,11.11,0.4,1.46,0.95,0.05
C_C3_40,1526,4425,4.46,20.11,28.14,241,0.05,0.32,0.6,91.9,169.3,475.4,0.98,0.05,14.18,1.06,14.7,0.62,1.95,0.6,0.04
C_C6_0,920,2668,5.12,61.89,26.32,2264,0.12,0.12,0.34,94.4,252.4,509.5,32,0.07,17.24,0.88,29.26,1.1,7.75,6.31,0.33
C_C6_5,982,2848,4.53,32.5,20.84,789,0.05,0.28,0.35,155,146.6,288.9,2.45,0.05,10.75,3.63,10.25,1.54,3.37,2.76,0.15
C_C6_10,1139,3303,4.74,35.64,23.2,992,0.05,0.23,0.32,99.9,165.8,340.1,3.87,0.05,11.31,3.35,10.92,0.95,3.05,2.68,0.14
C_C6_15,874,2535,4.58,39.56,20.3,966,0.05,0.27,0.3,97.5,153.8,331,2.58,0.05,10.65,2.26,10.27,0.8,2.45,1.89,0.11
C_C6_20,1126,3265,4.78,37.82,23.32,1054,0.04,0.26,0.25,52.5,162.4,369.3,1.28,0.04,11.64,1.15,8,0.33,1.04,1.52,0.09
C_C6_25,863,2503,4.57,41.86,20.92,1006,0.05,0.35,0.34,87.3,168.6,389.4,1.27,0.05,12.07,1.1,11.86,0.72,1.58,1.6,0.1
C_C6_30,1701,4933,4.62,21.15,29.78,727,0.05,0.29,0.39,69.1,137,270.9,0.85,0.05,12.57,0.87,9.14,0.46,0.61,0.57,0.05
C_C6_40,1880,5452,4.5,17.08,32.87,594,0.04,0.34,0.44,75.3,144.1,266.6,0.49,0.04,12.37,0.85,11.15,0.41,0.69,0.46,0.04
C_F4_0,811,2352,5.42,70.71,25.38,2509,0.1,0.1,0.52,57.2,251.6,560,44.35,0.1,20.17,0.9,28.1,0.82,9.19,11.9,0.61
C_F4_5,505,1465,4.9,64.44,17.3,1424,0.07,0.16,0.42,158.8,157.8,427.4,20.8,0.06,12.91,2.83,11.87,2.21,4.16,3.07,0.2
C_F4_10,2195,6366,5.25,28.19,31.03,1050,0.04,0.19,0.34,121.5,122.2,375.3,12.01,0.04,13.49,2.3,10.71,1,2.7,2.28,0.14
C_F4_15,698,2024,4.76,51.69,18.77,1182,0.06,0.2,0.33,107.7,131.7,409,17.91,0.05,10.78,2.36,12.9,0.83,3.46,2.49,0.16
C_F4_20,1131,3280,5.17,47.06,22.67,1345,0.07,0.17,0.39,137,144.4,423,24.73,0.05,11.53,2.29,15.08,1.1,4.13,3.32,0.2
C_F4_25,1418,4112,4.68,26.7,26.03,780,0.06,0.23,0.28,92.2,115.3,324.8,4.13,0.06,10.58,0.97,11.92,0.69,1.74,1.73,0.11
C_F4_30,2477,7183,4.71,13.99,38.25,400,0.04,0.29,0.47,96.5,129.6,355.6,2.35,0.04,12.43,0.88,24.31,0.21,1.43,1.06,0.07
C_F4_40,2352,6821,4.58,13.14,38,266,0.04,0.25,0.59,85.3,138.4,390.3,1.13,0.04,13.11,1.36,16.46,0.16,1.46,0.51,0.05
C_H3_0,1018,2952,4.88,43.36,22.1,1333,0.16,0.09,0.43,65.4,179.1,286.9,55.03,0.09,15.57,1.09,32.22,1.2,11.41,6.68,0.4
C_H3_5,794,2303,4.55,24.54,14.95,441,0.09,0.1,0.37,147.4,92.8,141.7,1.4,0.05,10.13,3.29,14.38,1.66,3.97,3.53,0.21
C_H3_10,1112,3225,4.66,18.35,18.48,405,0.06,0.15,0.29,168.4,105.9,126,4.24,0.06,10.05,2.46,11.9,1.79,3.38,3.28,0.19
C_H3_15,1072,3109,4.58,15.86,17.88,330,0.06,0.18,0.25,165.2,97.1,107.7,3.72,0.05,8.93,2.45,10.84,1.13,2.91,2.93,0.17
C_H3_20,1021,2961,4.56,14.46,16.89,272,0.06,0.2,0.23,168.7,95.8,95.3,2.65,0.05,10.17,2.07,9.05,1.1,2.65,2.01,0.12
