ID,O2_%,Cond,rundate,units,Salinity (g/L),Treatment,Wash,Fraction,Group
AW1.DI,34.4,0.02133,20-Mar-24,mS,0.007097868,AW,1,Blank,AW Blank
AW2.01.A,24.9,4.572,20-Mar-24,mS,2.437334838,AW,2,0.1,AW 0.1
AW2.01.C,26.14,4.434,20-Mar-24,mS,2.35741476,AW,2,0.1,AW 0.1
AW2.1.A,23,4.55,20-Mar-24,mS,2.424579592,AW,2,1,AW 1
AW2.1.B,24.1,5.588,20-Mar-24,mS,3.031915946,AW,2,1,AW 1
AW2.1.C,25.37,5.975,20-Mar-24,mS,3.261009216,AW,2,1,AW 1
AW2.45.A,24.55,4.907,20-Mar-24,mS,2.632214977,AW,2,0.45,AW 0.45
AW2.45.B,24.49,4.597,20-Mar-24,mS,2.451835976,AW,2,0.45,AW 0.45
AW2.45.C,24.13,4.634,20-Mar-24,mS,2.473310362,AW,2,0.45,AW 0.45
AW2.DI,26.82,0.03436,20-Mar-24,mS,0.011922581,AW,2,Blank,AW Blank
AW3.01.A,18.54,0.6294,20-Mar-24,mS,0.281918875,AW,3,0.1,AW 0.1
AW3.01.C,17.91,0.5656,20-Mar-24,mS,0.250975527,AW,3,0.1,AW 0.1
AW3.1.A,18.88,0.6392,20-Mar-24,mS,0.286697115,AW,3,1,AW 1
AW3.1.B,18.69,0.8429,20-Mar-24,mS,0.387356492,AW,3,1,AW 1
AW3.1.C,18.46,0.7772,20-Mar-24,mS,0.35462816,AW,3,1,AW 1
AW3.45.A,18.36,0.6745,20-Mar-24,mS,0.303961247,AW,3,0.45,AW 0.45
AW3.45.B,18.03,0.6132,20-Mar-24,mS,0.274034513,AW,3,0.45,AW 0.45
AW3.45.C,18.01,0.5971,20-Mar-24,mS,0.266216919,AW,3,0.45,AW 0.45
AW3.DI,18.55,0.00416,20-Mar-24,mS,0.001199227,AW,3,Blank,AW Blank
AW4.01.A,15.68,0.10448,20-Mar-24,mS,0.039972004,AW,4,0.1,AW 0.1
AW4.1.A,16.74,0.08646,20-Mar-24,mS,0.032532636,AW,4,1,AW 1
AW4.1.B,15.9,0.1149,20-Mar-24,mS,0.044326942,AW,4,1,AW 1
AW4.1.C,16.17,0.0994,20-Mar-24,mS,0.037862436,AW,4,1,AW 1
AW4.45.A,16.21,0.10232,20-Mar-24,mS,0.039073896,AW,4,0.45,AW 0.45
AW4.45.B,16.1,0.09364,20-Mar-24,mS,0.035481941,AW,4,0.45,AW 0.45
AW4.45.C,15.35,0.08904,20-Mar-24,mS,0.033590029,AW,4,0.45,AW 0.45
AW4.DI,16.97,0.00586,20-Mar-24,mS,0.001740887,AW,4,Blank,AW Blank
AW5.01.A,20.87,0.0389,20-Mar-24,mS,0.013645794,AW,5,0.1,AW 0.1
AW5.1.A,22.19,0.02901,20-Mar-24,mS,0.009917702,AW,5,1,AW 1
AW5.1.B,22.12,0.03038,20-Mar-24,mS,0.010428231,AW,5,1,AW 1
AW5.1.C,22.28,0.03042,20-Mar-24,mS,0.010443167,AW,5,1,AW 1
AW5.45.A,22.01,0.03076,20-Mar-24,mS,0.010570199,AW,5,0.45,AW 0.45
AW5.45.B,22.3,0.03157,20-Mar-24,mS,0.010873329,AW,5,0.45,AW 0.45
