sample_name,ferrozine_id,date,Fe2_ppm,Fe2_mg,Fe2_mg/g,FeTotal_ppm,FeTotal_mg,FeTotal_mg/g,Fe3_ppm,Fe3_mg/g,Treatment,Wash,Fraction,Group,,,,,,,,,
AW4.DI,_001,3/8/2024,0.04,0.044444444,0.044444444,0.08,0.088888889,0.088888889,0.04,0.044444444,AW,4,Blank,AW Blank,,,,,,,,,
AW4.ASW,_002,3/8/2024,0.01,0.011111111,0.011111111,0.06,0.066666667,0.066666667,0.05,0.055555556,AW,4,Blank,AW Blank,,,,,,,,,
AW4.1.A,_003,3/8/2024,2.03,2.255555556,0.445075882,16.15,17.94444444,3.540874629,14.12,3.095798747,AW,4,1,AW 1,,,,,,,,,
AW4.1.B,_004,3/8/2024,2.08,2.311111111,0.460298176,17.82,19.8,3.943516103,15.74,3.483217927,AW,4,1,AW 1,,,,,,,,,
AW4.1.C,_005,3/8/2024,2.1,2.333333333,0.463477938,18.24,20.26666667,4.025636951,16.14,3.562159013,AW,4,1,AW 1,,,,,,,,,
AW4.45.A,_006,3/8/2024,1.98,2.2,0.433925049,14.19,15.76666667,3.109796187,12.21,2.675871137,AW,4,0.45,AW 0.45,,,,,,,,,
AW4.45.B,_007,3/8/2024,2,2.222222222,0.443885149,13.7,15.22222222,3.040613272,11.71,2.596728123,AW,4,0.45,AW 0.45,,,,,,,,,
AW4.45.C,_008,3/8/2024,1.69,1.877777778,0.375232855,12.49,13.87777778,2.773170629,10.79,2.397937774,AW,4,0.45,AW 0.45,,,,,,,,,
AW4.01.A,_009,3/8/2024,1.14,1.266666667,0.250210704,3.24,3.6,0.711125158,2.09,0.460914454,AW,4,0.1,AW 0.1,,,,,,,,,
OW4.ASW,_010,3/8/2024,0.01,0.011111111,0.011111111,0.08,0.088888889,0.088888889,0.07,0.077777778,OW,4,Blank,OW Blank,,,,,,,,,
OW4.1.A,_011,3/8/2024,2.3,2.555555556,0.51020295,15.6,17.33333333,3.460506964,13.31,2.950304014,OW,4,1,OW 1,,,,,,,,,
OW4.1.B,_012,3/8/2024,2.03,2.255555556,0.449824613,16.42,18.24444444,3.638482828,14.39,3.188658215,OW,4,1,OW 1,,,,,,,,,
OW4.1.C,_013,3/8/2024,2.03,2.255555556,0.447646329,16.98,18.86666667,3.744352048,14.95,3.29670572,OW,4,1,OW 1,,,,,,,,,
OW4.45.A,_014,3/8/2024,1.78,1.977777778,0.39260318,12.79,14.21111111,2.82100824,11.01,2.428405061,OW,4,0.45,OW 0.45,,,,,,,,,
OW4.45.B,_015,3/8/2024,1.87,2.077777778,0.409688812,14.19,15.76666667,3.108815101,12.31,2.699126289,OW,4,0.45,OW 0.45,,,,,,,,,
OW4.45.C,_016,3/8/2024,1.68,1.866666667,0.367222747,14.41,16.01111111,3.149809394,12.73,2.782586647,OW,4,0.45,OW 0.45,,,,,,,,,
OW4.01.B,_017,3/8/2024,1.18,1.311111111,0.25972368,4.53,5.033333333,0.997074807,3.35,0.737351127,OW,4,0.1,OW 0.1,,,,,,,,,
OW4.01.C,_018,3/8/2024,0.94,1.044444444,0.208517727,3.46,3.844444444,0.767522698,2.52,0.559004971,OW,4,0.1,OW 0.1,,,,,,,,,
AW3.1.A,_019,3/8/2024,2.58,2.866666667,0.565662944,30.19,33.54444444,6.619133439,27.61,6.053470496,AW,3,1,AW 1,,,,,,,,,
AW3.1.B,_020,3/8/2024,2.44,2.711111111,0.539965168,81.93,91.03333333,18.13087959,79.49,17.59091442,AW,3,1,AW 1,,,,,,,,,
AW3.1.C,_021,3/8/2024,2.72,3.022222222,0.600314282,35.47,39.41111111,7.828363084,32.74,7.228048802,AW,3,1,AW 1,,,,,,,,,
AW3.45.A,_022,3/8/2024,1.68,1.866666667,0.36817883,22.43,24.92222222,4.915625685,20.75,4.547446855,AW,3,0.45,AW 0.45,,,,,,,,,
AW3.45.B,_023,3/8/2024,1.96,2.177777778,0.435007446,20.28,22.53333333,4.500995412,18.32,4.065987966,AW,3,0.45,AW 0.45,,,,,,,,,
AW3.45.C,_024,3/8/2024,1.99,2.211111111,0.441842238,20.31,22.56666667,4.509455202,18.31,4.067612964,AW,3,0.45,AW 0.45,,,,,,,,,
AW3.01.A,_025,3/8/2024,1,1.111111111,0.219483073,3.35,3.722222222,0.735268296,2.35,0.515785223,AW,3,0.1,AW 0.1,,,,,,,,,
