"date","sample_label","analysis","ppm_calculated","flag","mean","sd","cv"
2024-03-08,"_001","Fe2",0.06,"below detection",0.0433333333333333,0.0288675134594813,66.6173387526491
2024-03-08,"_001","Fe2",0.06,"below detection",0.0433333333333333,0.0288675134594813,66.6173387526491
2024-03-08,"_001","Fe2",0.01,"below detection",0.0433333333333333,0.0288675134594813,66.6173387526491
2024-03-08,"_002","Fe2",0.01,"below detection",0.01,0,0
2024-03-08,"_002","Fe2",0.01,"below detection",0.01,0,0
2024-03-08,"_002","Fe2",0.01,"below detection",0.01,0,0
2024-03-08,"_003","Fe2",2.03,"below detection",2.03,0.05,2.46305418719212
2024-03-08,"_003","Fe2",2.08,"below detection",2.03,0.05,2.46305418719212
2024-03-08,"_003","Fe2",1.98,"below detection",2.03,0.05,2.46305418719212
2024-03-08,"_004","Fe2",2.14,"below detection",2.08333333333333,0.0550757054728612,2.64363386269734
2024-03-08,"_004","Fe2",2.03,"below detection",2.08333333333333,0.0550757054728612,2.64363386269734
2024-03-08,"_004","Fe2",2.08,"below detection",2.08333333333333,0.0550757054728612,2.64363386269734
2024-03-08,"_005","Fe2",2.14,"below detection",2.1,0.0346410161513776,1.64957219768465
2024-03-08,"_005","Fe2",2.08,"below detection",2.1,0.0346410161513776,1.64957219768465
2024-03-08,"_005","Fe2",2.08,"below detection",2.1,0.0346410161513776,1.64957219768465
2024-03-08,"_006","Fe2",1.98,"below detection",1.98,0.16,8.08080808080808
2024-03-08,"_006","Fe2",2.14,"below detection",1.98,0.16,8.08080808080808
2024-03-08,"_006","Fe2",1.82,"below detection",1.98,0.16,8.08080808080808
2024-03-08,"_007","Fe2",2.19,"below detection",1.99666666666667,0.185562208796224,9.29359977276579
2024-03-08,"_007","Fe2",1.98,"below detection",1.99666666666667,0.185562208796224,9.29359977276579
2024-03-08,"_007","Fe2",1.82,"below detection",1.99666666666667,0.185562208796224,9.29359977276579
2024-03-08,"_008","Fe2",1.71,"below detection",1.69333333333333,0.0288675134594813,1.7047744168985
2024-03-08,"_008","Fe2",1.71,"below detection",1.69333333333333,0.0288675134594813,1.7047744168985
2024-03-08,"_008","Fe2",1.66,"below detection",1.69333333333333,0.0288675134594813,1.7047744168985
2024-03-08,"_009","Fe2",1.18,"below detection",1.14333333333333,0.109696551146029,9.59445053755354
2024-03-08,"_009","Fe2",1.23,"below detection",1.14333333333333,0.109696551146029,9.59445053755354
2024-03-08,"_009","Fe2",1.02,"below detection",1.14333333333333,0.109696551146029,9.59445053755354
2024-03-08,"_010","Fe2",0.01,"below detection",0.01,,
2024-03-08,"_011","Fe2",2.72,"below detection",2.295,0.601040764008565,26.1891400439462
2024-03-08,"_011","Fe2",1.87,"below detection",2.295,0.601040764008565,26.1891400439462
2024-03-08,"_012","Fe2",2.08,"below detection",2.02666666666667,0.0923760430703402,4.55802844097073
