Sample_ID,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX
AW3.1.1,0.0087194,0.99959,0.0070855,0.99639,1.2306,2.2876,1.6363,0.37915,2.1385,2.2824
AW1.01,0.014436,0.99951,0.014927,0.99388,0.96712,4.1314,1.2745,0.72245,0.47368,0.51025
AW1.01.1,0.015502,0.99624,0.017785,0.99973,0.87162,5.5605,1.7835,0.78384,0.79509,0.80986
AW1.1,0.014715,0.99816,0.013076,0.99889,1.1253,4.5245,1.6965,0.72839,0.80863,0.85536
AW1.1.1,0.014758,0.99806,0.0133,0.99938,1.1097,4.5421,1.7786,0.73494,0.78633,0.79231
AW1.45,0.014267,0.99808,0.013112,0.99959,1.0881,4.3537,1.7609,0.73406,0.79441,0.8009
AW1.ASW,0.03686,0.99968,0.0049716,0.58899,7.4142,6.1492,1.8567,0.40291,1.0714,1.0924
AW1.DI,0.016107,0.9935,0.0052738,0.89991,3.0542,2.7168,1.5483,0.14039,0.89511,1.1129
AW2.01,0.013041,0.99739,0.013728,0.99968,0.94998,4.1852,1.682,0.82657,0.69789,0.74112
AW2.01.1,0.012768,0.99749,0.012766,0.99971,1.0001,4.0378,1.6776,0.84428,0.66412,0.67451
AW2.1,0.0098309,0.99858,0.007577,0.99972,1.2975,2.5942,1.6898,0.74862,0.70575,0.71184
AW2.45,0.01227,0.99851,0.010846,0.99947,1.1313,3.5796,1.6884,0.80885,0.69803,0.71582
AW2.45.1,0.01214,0.99774,0.010402,0.99958,1.1671,3.4694,1.6772,0.80003,0.68331,0.68844
AW2.ASW,0.065737,0.98295,-0.016295+1.2347e-17i,0.67613+8.6615e-17i,-4.0341-3.0568e-15i,-10.6307,2.019,0.5525,0.86018,1.1545
AW2.DI,0.14147,0.90379,-0.016905+1.2347e-17i,0.38129-2.1838e-17i,-8.3684-6.1122e-15i,-14.0214,0.8525,0.27574,0.9821,1.3931
AW3.01,0.013668,0.99908,0.015179,0.99204,0.90046,3.797,1.516,3.4083,0.73001,0.76613
AW3.01.1,0.014436,0.99936,0.014368,0.9936,1.0047,3.9451,1.54,0.477,1.0669,1.0958
