Software Version,3.08.01,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\Kaizad\AMP_Connor_FWSW_2024\2024-03-08\2024-03-08_ferrozine_all.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 5,,,,,,,,,,,,,
Date,3/8/24,,,,,,,,,,,,,
Time,4:59:34 PM,,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,,
Reader Serial Number:,1709086,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,Pathlength Correction: 977 / 900,,,,,,,,,,,,,
,    Absorbance at 1 cm: 0.18,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,23.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.116,0.115,0.115,0.116,0.116,0.117,0.116,0.114,0.112,0.114,0.113,0.112,977 [Test]
,,0.076,0.076,0.076,0.076,0.076,0.076,0.08,0.078,0.076,0.077,0.077,0.078,900 [Ref]
,,0.221,0.218,0.219,0.221,0.223,0.224,0.197,0.201,0.2,0.204,0.196,0.189,Pathlength
,,0.086,0.085,0.085,0.085,0.085,0.085,0.403,0.377,0.337,0.422,0.395,0.39,562
,,0.388,0.391,0.39,0.383,0.38,0.379,2.05,1.88,1.683,2.065,2.015,2.065,Corrected [562]
,B,0.114,0.113,0.114,0.118,0.113,0.116,0.115,0.114,0.114,0.113,0.112,0.112,977 [Test]
,,0.078,0.077,0.078,0.079,0.079,0.078,0.078,0.077,0.077,0.077,0.076,0.076,900 [Ref]
,,0.2,0.197,0.196,0.221,0.192,0.207,0.205,0.204,0.204,0.197,0.201,0.199,Pathlength
,,0.419,0.401,0.409,0.363,0.319,0.33,0.331,0.315,0.34,0.329,0.292,0.3,562
,,2.093,2.035,2.087,1.644,1.658,1.591,1.614,1.54,1.663,1.669,1.458,1.506,Corrected [562]
