Short_ID,Result_TC,Result_IC_mg/L,Result_POC_mg/L,Date
0.A.6,7.382,0.4831,24,10/3/2023 0:33
0.C.6,3.394,0.1992,25,10/3/2023 0:50
0.B.6,6.708,0.438,26,10/3/2023 1:07
0.C.5,7.339,0.4865,27,10/3/2023 1:28
0.B.5,7.836,0.5048,28,10/3/2023 1:49
0.A.5,7.763,0.4606,29,10/3/2023 2:10
0.C.4,7.133,0.4551,30,10/3/2023 2:27
0.A.4,8.001,0.4906,31,10/3/2023 2:48
0.B.4,8.719,0.5651,32,10/3/2023 3:08
01.B.6,7.426,0.4662,33,10/3/2023 3:29
01.A.6,6.728,0.4122,36,10/3/2023 4:25
01.C.6,3.768,0.225,37,10/3/2023 4:42
01.A.5,8.415,0.517,38,10/3/2023 5:00
01.B.5,7.893,0.464,39,10/3/2023 5:21
01.C.5,7.536,0.5025,40,10/3/2023 5:42
01.B.4,9.235,0.5408,41,10/3/2023 6:03
01.A.4,9.476,0.5338,42,10/3/2023 6:24
01.C.4,9.671,0.5951,43,10/3/2023 6:45
1.C.6,4.214,0.2305,44,10/3/2023 7:07
1.B.6,7.246,0.4344,45,10/3/2023 7:30
1.A.6,7.81,0.4882,48,10/3/2023 12:47
1.B.5,9.973,0.644,49,10/3/2023 13:09
1.A.5,11.23,0.6706,50,10/3/2023 13:27
1.C.5,9.6,0.5921,51,10/3/2023 13:48
1.C.4,13.02,0.7945,52,10/3/2023 14:10
1.A.4,12.58,0.7354,53,10/3/2023 14:32
1.B.4,14.28,0.8974,54,10/3/2023 14:54
5.A.6,9.712,0.6108,55,10/3/2023 15:15
5.B.6,8.254,0.5231,56,10/3/2023 15:36
5.C.6,7.631,0.4277,57,10/3/2023 15:58
5.B.5,12.37,0.7629,60,10/3/2023 16:57
5.C.5,12.24,0.7436,61,10/3/2023 17:20
5.A.5,12.43,0.774,62,10/3/2023 17:42
5.C.4,16.14,1.005,63,10/3/2023 18:04
5.A.4,17.7,1.084,64,10/3/2023 18:27
5.B.4,17.13,1.109,65,10/3/2023 18:49
25.A.6,12.33,0.7843,66,10/3/2023 19:11
25.B.6,11.69,0.7425,67,10/3/2023 19:29
25.C.6,11.28,0.7336,68,10/3/2023 19:50
25.B.5,17.96,1.221,69,10/3/2023 20:12
25.A.5,19.31,1.27,72,10/3/2023 21:13
25.C.5,16.21,1.063,73,10/3/2023 21:35
100.C.6,6.741,0.3885,74,10/3/2023 21:58
100.B.6,14.72,0.9738,75,10/3/2023 22:24
100.A.6,14.54,1.032,76,10/3/2023 22:46
100.B.5,20.15,3.01,77,10/3/2023 23:09
100.C.5,18.91,1.245,78,10/3/2023 23:31
100.A.5,22.63,1.497,79,10/3/2023 23:53
25.A.4,27.54,1.706,80,10/4/2023 0:16
25.B.4,25.62,1.627,81,10/4/2023 0:38
25.C.4,26.14,1.635,84,10/4/2023 1:38
100.B.4,28.34,0.8774,85,10/4/2023 2:01
100.A.4,32.45,2.024,86,10/4/2023 2:24
100.C.4,28.05,1.749,87,10/4/2023 2:47
0.C.3,13.22,0.8576,88,10/4/2023 3:09
5.B.3,26.66,1.595,89,10/4/2023 3:32
0.A.2,13.69,0.9123,90,10/4/2023 3:55
100.A.2,3.501,0.8682,24,9/27/2023 19:33
100.B.1,8.141,2.358,25,9/27/2023 19:51
100.C.2,3.996,0.9356,26,9/27/2023 20:12
100.C.1,8.606,2.337,27,9/27/2023 20:30
100.B.2,3.786,0.7963,28,9/27/2023 20:52
100.A.1,8.131,2.383,29,9/27/2023 21:09
25.A.1,7.645,1.897,30,9/27/2023 21:27
