Sample_ID,Short_ID
TMP_5.B.1_EXP,5.B.1
TMP_5.C.1_EXP,5.C.1
TMP_1.C.1_EXP,1.C.1
TMP_1.B.1_EXP,1.B.1
TMP_0.A.6_EXP,0.A.6
TMP_0.B.6_EXP,0.B.6
TMP_0.C.5_EXP,0.C.5
TMP_01.B.6_EXP,01.B.6
TMP_01.A.6_EXP,01.A.6
TMP_1.B.6_EXP,1.B.6
TMP_0.C.4_EXP,0.C.4
TMP_100.C.3_EXP,100.C.3
TMP_25.B.4_EXP,25.B.4
TMP_100.B.4_EXP,100.B.4
TMP_100.C.4_EXP,100.C.4
TMP_25.B.6_EXP,25.B.6
TMP_25.A.6_EXP,25.A.6
TMP_25.C.6_EXP,15.C.6
TMP_5.C.5_EXP,5.C.5
TMP_5.A.5_EXP,5.A.5
TMP_5.B.5_EXP,5.B.5
TMP_01.C.2_EXP,01.C.2
TMP_Blk3_EXP,Blk3
TMP_25.C.1_EXP,25.C.1
TMP_5.A.1_EXP,5.A.1
TMP_100.B.1_EXP,100.B.1
TMP_100.A.1_EXP,100.A.1
TMP_100.C.1_EXP,100.C.1
TMP_25.A.1_EXP,25.A.1
TMP_01.B.1_EXP,01.B.1
TMP_01.A.1_EXP,01.A.1
TMP_01.C.1_EXP,01.C.1
TMP_0.B.5_EXP,0.B.5
TMP_0.A..5_EXP,0.A.5
TMP_0.A.4_EXP,0.A.4
TMP_01.A.5_EXP,01.A.5
TMP_0.B.4_EXP,0.B.4
TMP_01.B.5_EXP,01.B.5
TMP_01.C.5_EXP,01.C.5
TMP_01.B.4_EXP,01.B.4
TMP_01.A.4_EXP,01.A.4
TMP_01.C.4_EXP,01.C.4
TMP_1.B.5_EXP,1.B.5
TMP_1.A.6_EXP,1.A.6
TMP_1.A.5_EXP,1.A.5
TMP_1.C.5_EXP,1.C.5
TMP_5.A.6_EXP,5.A.6
TMP_5.B.6_EXP,5.B.6
TMP_5.C.6_EXP,5.C.6
TMP_100.A.2_EXP,100.A.2
TMP_100.B.2_EXP,100.B.2
TMP_100.C.2_EXP,100.C.2
TMP_25.A.2_EXP,25.A.2
TMP_25.B.2_EXP,25.B.2
TMP25.C.2_EXP,25.C.2
TMP_5.B.2_EXP,5.B.2
TMP_5.C.2_EXP,5.C.2
TMP_5.A.2_EXP,5.A.2
TMP_1.A.2_EXP,1.A.2
TMP_1.B.2_EXP,1.B.2
TMP_1.C.2_EXP,1.C.2
TMP_0.C.1_EXP,0.C.1
TMP_0.A.2_EXP,0.A.2
TMP_01.B.3_EXP,01.B.3
TMP_01.A.3_EXP,01.A.3
TMP_01.C.3_EXP,01.C.3
TMP_0.C.3_EXP,0.C.3
TMP_0.A.3_EXP,0.A.3
TMP_0.B.3_EXP,0.B.3
TMP_1.C.4_EXP,1.C.4
TMP_1.A.4_EXP,1.A.4
TMP_1.B.4_EXP,1.B.4
TMP_5.C.4_EXP,5.C.4
TMP_25.C.5_EXP,25.C.5
TMP_100.B.6_EXP,100.B.6
TMP_100.A.6_EXP,100.A.6
TMP_100.A.5_EXP,100.A.5
TMP_25.A.4_EXP,25.A.4
TMP_Blk1_EXP,Blk1
TMP_0.A.1_EXP,0.A.1
TMP_0.B.1_EXP,0.B.1
TMP_01.A.2_EXP,01.A.2
TMP_01.B.2_EXP,01.B.2
TMP_100.A.4_EXP,100.A.4
TMP_5.C.3_EXP,5.C.3
TMP_25.B.3_EXP,25.B.3
TMP_25.A.3_EXP,25.A.3
TMP_25.C.3_EXP,25.C.3
TMP_100.B.3_EXP,100.B.3
TMP_5.A.4_EXP,5.A.4
TMP_25.B.5_EXP,25.B.5
TMP_5.B.4_EXP,5.B.4
TMP_25.A.5_EXP,25.A.5
TMP_100.B.5_EXP,100.B.5
TMP_100.C.5_EXP,100.C.5
TMP_1.A.3_EXP,1.A.3
TMP_1.C.3_EXP,1.C.3
TMP_1.B.3_EXP,1.B.3
TMP_5.B.3_EXP,5.B.3
TMP_5.A.3_EXP,5.A.3
TMP_100.A.3_EXP,100.A.3
TMP_Blk2_EXP,Blk2
