Treatment,Wash,Fraction,Group,sample_name,DOC_corrected,sd_doc_mg_l,Fe2_correct,sd_Fe2_ppm,Fe3_correct,sd_Fe3_ppm,FeTotal_correct_ppm,sd_FeTotal_ppm,mean_O2%,sd_O2%,mean_Cond_mS,sd_Cond_mS,mean_salinity_g/L,sd_salinity_g/L,[DOC],[Fe2]_correct,[Fe3]_correct,[Fe],OC:Fe2,OC:Fe3,OC:FeTotal
AW,4,1,AW 1,AW4.1,63.12,13.80388351,2.07,0.036055513,15.33333333,1.069641685,17.40333333,1.105546622,16.27,0.428835633,0.100253333,0.01423919,0.038240672,0.005906243,0.005255183,3.71E-05,0.000274594,0.000311664,1.42E+02,19.13801011,16.8616932
AW,4,0.45,AW 0.45,AW4.45,102.89,6.51300238,1.89,0.173493516,11.57,0.720277724,13.46,0.875042856,15.88666667,0.468009971,0.095,0.006743649,0.036048622,0.002785506,0.008566314,3.38E-05,0.000207199,0.000241046,2.53E+02,41.34341484,35.53808905
AW,4,0.1,AW 0.1,AW4.01,17.51,NA,1.14,NA,2.09,NA,3.24,NA,15.68,NA,0.10448,NA,0.039972004,NA,0.00145783,2.04E-05,3.74E-05,5.80E-05,7.14E+01,38.94984349,25.12508548
OW,4,1,OW 1,OW4.1,57.70666667,5.173058412,2.12,0.155884573,14.21666667,0.833626615,16.33333333,0.694070121,91.13333333,6.218571647,0.089663333,5.56E-04,0.033845945,2.28E-04,0.004804485,3.80E-05,0.000254596,0.000292502,1.27E+02,18.87101438,16.42547667
OW,4,0.45,OW 0.45,OW4.45,94.71166667,8.956546954,1.776666667,0.09504385,12.01666667,0.896734818,13.79666667,0.878711177,79.68333333,5.981006047,0.08226,0.003112925,0.030818666,0.001267516,0.007885411,3.18E-05,0.000215198,0.000247075,2.48E+02,36.64258309,31.91504845
OW,4,0.1,OW 0.1,OW4.01,27.875,13.66837408,1.06,0.169705627,2.935,0.586898628,3.995,0.756604256,77.815,1.633416665,0.09969,0.026601357,0.038047529,0.011019898,0.002320789,1.90E-05,5.26E-05,7.15E-05,1.22E+02,44.15429105,32.43876507
AW,3,1,AW 1,AW3.1,132.7433333,81.39363448,2.58,0.14,46.61333333,28.58733344,49.19666667,28.47056257,18.67666667,0.210317221,0.7531,0.103966485,0.342893923,0.051345368,0.011051814,4.62E-05,0.000834766,0.000881029,2.39E+02,13.23941514,12.54421093
AW,3,0.45,AW 0.45,AW3.45,109.9233333,10.78766116,1.876666667,0.170977581,19.12666667,1.405856797,21.00666667,1.232734089,18.13333333,0.19655364,0.628266667,0.040840462,0.281404226,0.019922176,0.009151889,3.36E-05,0.000342526,0.000376194,2.72E+02,26.71881418,24.32757712
AW,3,0.1,AW 0.1,AW3.01,15.2,3.054701295,0.99,0.014142136,2.77,0.593969696,3.76,0.579827561,18.225,0.445477272,0.5975,0.045113413,0.266447201,0.021880252,0.001265507,1.77E-05,4.96E-05,6.73E-05,7.14E+01,25.51116032,18.79413173
OW,3,1,OW 1,OW3.1,161.46,27.14020879,3.77,1.19,32.54,3.64741004,36.30666667,2.558912529,94.69,1.903759439,0.6873,0.016850223,0.310247116,0.008273709,0.013442678,6.75E-05,0.000582736,0.000650191,1.99E+02,23.06821193,20.67496712
